,,,,,,,,
Category,N/A,,,,,,,
Priority,N/A,,,,,,,
,,"SIFO, Consumption Research Norway: Financial Wellbeing Survey (Norway)",Strong,General,More objective,,"Thinking about the total income of your household approximately how many month's income do you have in savings?
More than 12 months; Between 6-12 months; Between 3-6 months; Between 1-3 months; 0-1 months; Don't know",Savings buffer
,,"SIFO, Consumption Research Norway: Financial Wellbeing Survey (Norway)",Moderate,General,More subjective,,"How would you describe your household’s/your current financial situation? 
1 Very Bad; 2; 3; 4; 5 Very Good",Overall financial condition
,,"SIFO, Consumption Research Norway: Financial Wellbeing Survey (Norway)",Strong,General,More subjective,,"How confident are you about your household’s/your financial situation in the next 12 months?
1 Not at all confident; 2; 3; 4; 5 Very Confident",Overall financial condition
,,"SIFO, Consumption Research Norway: Financial Wellbeing Survey (Norway)",Moderate,General,More subjective,,"How much control of the household’s/ your finances do you feel you have?
1 Very little/no control; 2 Little control; 3 Neither; 4 Somewhat in control; 5 Totally in control",Feeling in control
,,OECD/INFE: Survey of adult financial literacy (Multiple countries),Strong,General,More objective,,"And if you, personally, faced a major expense today – equivalent to your own monthly income – would you be able to pay it without borrowing the money or asking family or friends to help? [Add if necessary, if you do not currently have an income, please think about an unexpected expense equivalent to the amount of money you typically spend in a month.]

Yes; No; Don't Know; Not applicable (I don't have any personal income); Refused",Raising a lump sum
,,OECD/INFE: Survey of adult financial literacy (Multiple countries),Strong,General,Mixed,,"If you lost your main source of income, how long could you continue to cover your living expenses, without borrowing any money or moving house?	

Less than a week; 
At least a week, but not one month; 
At least one month, but not three months; 
At least three months, but not six months; 
Six months or more; 
Don't know; 
Refused",Maintaining consumption after income loss
,,European Union: Survey of Income and Living Conditions (Multiple countries),Moderate,General,More subjective,,"Can your household afford an unexpected required expense (amount to be filled) and pay through its own resources?

Yes, No",Raising a lump sum
,,MetLife Foundation: Global Financial Health Study (Multiple countries),Strong,General,Mixed,,"Suppose you lost your income and had to survive only on your savings or things you could sell. Would you be able to cover ALL of your basic needs, like food, housing, and transportation for 1-3 months, 4-6 months, or more than 6 months?",Maintaining consumption after income loss
,,MetLife Foundation: Global Financial Health Study (Multiple countries),Moderate,General,More subjective,,"If you had a financial emergency today, do you think you would be able to pay for it?
Yes, No",Raising a lump sum
,,MetLife Foundation: Global Financial Health Study (Multiple countries),Moderate,General,More subjective,,"Do you think you can overcome any financial problem that you might face?  
Yes, No",Confidence
,,World Bank: Global Findex (Multiple countries),Strong,General,Mixed,,"Imagine that you have an emergency and you need to pay [insert 1/20 of GNI per capita in local currency units]. What would be the MAIN source of money that you would use to come up with [insert 1/20 of GNI per capita in local currency units] within the NEXT 30 DAYS?
Savings; 
Family and friends; 
Money from working; 
Borrowing from a bank, employer, or private lender; 
Selling assets; 
Some other source",Raising a lump sum
,,World Bank: Global Findex (Multiple countries),Strong,General,Mixed,,"How difficult would it be for you to come up with [insert 1/20 of GNI per capita in local currency] within the NEXT 30 DAYS? Would it be very difficult, somewhat difficult or not difficult at all?",Raising a lump sum
,,World Bank: Global Findex (Multiple countries),Strong,General,Mixed,,"How difficult would it be for you to come up with [insert 1/20 of GNI per capita in local currency] within the NEXT 7 DAYS? Would it be very difficult, somewhat difficult or not difficult at all?",Raising a lump sum
,,World Bank: Global Findex (Multiple countries),Moderate,General,More subjective,,"How worried are you right now about not being able to pay for medical costs in case of a serious illness or accident?  very worried, somewhat worried, or not worried at all at the present time ",Paying for medical emergency
,,Consumer Financial Protection Bureau: Financial Well-Being Survey (United States),Moderate,General,More subjective,,"How much do you agree with the following statement? ""I can enjoy life because of the way I am managing my money""? completely, very well, very little, not at all",Overall financial condition (CFPB and CBA financial wellbeing scales)
,,Consumer Financial Protection Bureau: Financial Well-Being Survey (United States),Moderate,General,More subjective,,"How often does the following statement apply to you? ""My finances control my life."" always, often, sometimes, rarely, never",Overall financial condition (CFPB and CBA financial wellbeing scales)
,,Consumer Financial Protection Bureau: Financial Well-Being Survey (United States),Moderate,General,Mixed,,"How often does the following statement apply to you? ""Giving a gift for a wedding, birthday or other occasion would put a strain on my finances for the month."" always, often, sometimes, rarely, never",Affordability of small extra expenses (CFPB and CBA financial wellbeing scales)
,,Consumer Financial Protection Bureau: Financial Well-Being Survey (United States),Moderate,General,More subjective,,"How well does this statement describe you or your situation? ""Because of my money situation, I feel like I will never have the things I want in life."" completely, very well, somewhat, very little, not at all",Overall financial condition (CFPB financial wellbeing scale)
,,Consumer Financial Protection Bureau: Financial Well-Being Survey (United States),Moderate,General,More objective,,"How often does this statement apply to you? ""I have money left over at the end of the month."" always, often, sometime, rarely, never",Short term finances (CFPB and CBA financial wellbeing scales)
,,Consumer Financial Protection Bureau: Financial Well-Being Survey (United States),Strong,General,More subjective,,"How well does this statement describe you or your situation? ""I am just getting by financially."" completely, very well, somewhat, very little, not at all",Overall financial condition (CFPB financial wellbeing scale)
,,Consumer Financial Protection Bureau: Financial Well-Being Survey (United States),Moderate,General,More subjective,,"How well does this statement describe you or your situation? ""I am concerned that the money I have or will save won't last."" completely, very well, somewhat, very little, not at all",Long term financial stability (CFPB financial wellbeing scale)
,,Consumer Financial Protection Bureau: Financial Well-Being Survey (United States),Moderate,General,More subjective,,"How often does the following statement apply to you? ""I am behind with my finances."" always, often, sometimes, rarely, never",Short term finances (Part of CFPB financial wellbeing scale)
,,Commonwealth Bank of Australia: Financial Wellbeing Scales (Australia),Strong,General,More subjective,,"""I feel on top of my day-to-day finances"" agree strongly, agree, neither agree nor disagree, disagree strongly",Short term finances (CBA financial wellbeing scale)
,,Commonwealth Bank of Australia: Financial Wellbeing Scales (Australia),Moderate,General,Mixed,,"""I am confident with my current levels of spending relative to the funds I have coming in."" agree stronly, agree, neither agree nor disagree, disagree, disagree strongly",Income and expense balance (CBA financial wellbeing scale)
,,Commonwealth Bank of Australia: Financial Wellbeing Scales (Australia),Strong,General,More subjective,,"""I am on track to have enough money to provide for my financial needs in the future."" agree stronly, agree, neither agree nor disagree, disagree, disagree strongly",Long term finances (CBA financial wellbeing scale)
,,Commonwealth Bank of Australia: Financial Wellbeing Scales (Australia),Strong,General,More subjective,,"In the last 12 months, how difficult was it for you to meet your necessary cost of living expenses, like housing, electricity, water, health care, food, clothing or transport? very easy, easy, neither easy nor difficult, difficult",Meeting expenses (CBA financial wellbeing scale)
,,Financial Health Network: Pulse Survey (United States),Strong,General,More objective,,"Which of the following statements best describes how your household's total spending compared to total income over the last 12 months? Sending was much less than income, a little less, about equal, a little more, much more",Income and expense balance (FHN financial health scale)
,⭐️,Financial Health Network: Pulse Survey (United States),Strong,General,More objective,,"Which of the following statement best describes how your houehold has paid its bill over the last 12 months? pay all our bills on time, nearly all, most, some, very few",Keeping up with bills (FHN financial health scale)
,⭐️,Financial Health Network: Pulse Survey (United States),Strong,General,More subjective,,"Thinking about your household's longer-term financial goals, such as saving for a vacation, starting a business, buying or paying off a home, saving up for education, putting money away for retirement, or making retirement funds last, how confident are you that your household is currently doing what is needed to meet your longer term goals? very confident, moderately, somewhat, slightly, not at all",Long term goals (FHN financial health scale)
,,Financial Health Network: Pulse Survey (United States),Strong,Credit,Mixed,,"Thinking about all of your household's current debt including mortgages, bank loans, student loans, money owed to people, medical denbt, past-due bills and credit card balances that are carried over from prior months... As of today, which of the following statements describes how manageable your household debyt is? Do not have any debt, have a manageable amount of debt, have a bit more debt than is manageable, have far more debt than is manageable",Debt burden (FHN financial health scale)
,,Financial Health Network: Pulse Survey (United States),Moderate,Credit,Mixed,,"How would you rate your credit score? (Your credit score is a number that tells lenders how risky or safe you are as a borrower.) Excellent, very good, good, fair, poor/don't know",Credit score (FHN financial health scale)
,,Financial Health Network: Pulse Survey (United States),Moderate,Insurance,Mixed,,"Thinking about all of the types of insurance you and others in your household currently might have, including health insurance, vehicle insurance, home or rental insurance, life insurance, and disability insurance...How confident are you that those insurance policies will provide enough support in case of an emergency? Very confident, moderately, somewhat, slightly, not at all, no one in my household has any insurance",Insurance (FHN financial health scale)
,,Financial Health Network: Pulse Survey (United States),Moderate,General,Mixed,,"To what extent do you agree or disagree with the following statement? ""My household plans ahead financially"" Agree strongly, agree somewhat, neither agree nor disagree, disagree somewhat, disagree strongly",Financial planning (FHN financial health scale)
