,,,,,,,,,,
,CB2.1,⭐️,Financial Conduct Authority: Financial Lives Survey (United Kingdom),Strong,Credit,Mixed,B2. Knowledge & Confidence,Consumer survey,"When you took out this [PRODUCT], which of the following best describes how you read the credit agreement and pre-contract information? Read it all carefully, just read the important bits, looked at it briefly, didn't read any; didn't get info",Understanding financial information 
,CB2.1,⭐️,Financial Conduct Authority: Financial Lives Survey (United Kingdom),Strong,Credit,Mixed,B2. Knowledge & Confidence,Consumer survey,"When you took out [product]: I was given an adequate explanation of the credit product; I was encouraged to ask questions if I didn't understand; I was given clear answers to my questions, I felt I understood the product well, I felt rushed into making a decision",Understanding financial information 
,CB2.1,,Financial Conduct Authority: Financial Lives Survey (United Kingdom),Strong,General,More subjective,B2. Knowledge & Confidence,Consumer survey,"In general, how well would you say you understand the information you receive about your [product]?",Understanding financial information 
,CB2.1,,FSD Kenya: Digital Credit Survey (Kenya),Strong,General,Mixed,B2. Knowledge & Confidence,Consumer survey,Have you experienced the following when taking out [product]: You did not fully understand the costs or fees associated with the loan,Understanding financial information 
,CB2.1,,Financial Conduct Authority: Financial Lives Survey (United Kingdom),Strong,General,More subjective,B2. Knowledge & Confidence,Consumer survey,I don't really understand the products I have taken out and whether I got a 'good deal' or not,Understanding financial information 
,CB2.1,,Financial Conduct Authority: Financial Lives Survey (United Kingdom),Strong,General,More subjective,B1. SKills,Consumer survey,I don't feel able to shop around for financial products.,Information gathering
,CB2.1,,Financial Conduct Authority: Financial Lives Survey (United Kingdom),Strong,General,More subjective,B2. Knowledge & Confidence,Consumer survey,How much would you agree or disagree that your [financial service provider] provides clear and understandable information?,Understanding financial information 
,CB2.1,,New Zealand Retirement Commission: New Zealand Financial Capability Survey 2021 (New Zealand),Strong,General,Mixed,B2. Knowledge & Confidence,Consumer survey,How carefully have you checked the terms and conditions of financial products you have bought? ,Terms and conditions
,CB2.1,,New Zealand Retirement Commission: New Zealand Financial Capability Survey 2021 (New Zealand),Strong,General,More subjective,B2. Knowledge & Confidence,Consumer survey,Knows enough about [product type] to choose the right one,Decisionmaking confidence
,CB2.1,,Superintendencia Financiera de Colombia: Financial Capability Survey (Colombia),Strong,General,More objective,B2. Knowledge & Confidence,Consumer survey,"In selecting your [product], which of these did you do before making a decision? Compare products from different providers; compare various products from one provider; did not consider other options; searched other providers but they had no options to consider",Information gathering
,CB2.1,,ANZ Bank: Adult financial wellbeing survey (Australia),Strong,General,Mixed,B2. Knowledge & Confidence,Consumer survey,"Before you got this <INSERT NAME OF PRODUCT>, did you personally search for information from a range of sources?",Information gathering
,CB2.1,,ANZ Bank: Adult financial wellbeing survey (Australia),Strong,General,Mixed,B2. Knowledge & Confidence,Consumer survey,"Did you personally consider many alternatives before you decided which <PRODUCT>, to take out or renew?",Information gathering
,CB2.1,,ANZ Bank: Adult financial wellbeing survey (Australia),Strong,General,Mixed,B2. Knowledge & Confidence,Consumer survey,How carefully did you personally check the applicable fees and other conditions of the <PRODUCT> before you took out or renewed it?,Terms and conditions
